service,connection,phrase,weight
HighSpeed,Fiber,Contact cct to check on tech and find out if he is going back.,4
HighSpeed,Fiber,Continue with troubleshoot steps after consultation and run speedtest.,4
HighSpeed,Fiber,Cx able to connect to WiFi but no dataflow.,4
HighSpeed,Fiber,Cx already reboot boosters and still without intenret.,4
HighSpeed,Fiber,Cx also ask for help with WiFi issue.,4
HighSpeed,Fiber,Cx also mention he dont have ctv news - 801 anymore.,4
HighSpeed,Fiber,Cx also reboot NAH and boosters and still same isuse.,4
HighSpeed,Fiber,Cx also unable to climb up to garade door controller to connect to system.,4
HighSpeed,Fiber,Cx ask for help to check boosters.,4
HighSpeed,Fiber,Cx ask for mor boosters because house is too big.,4
HighSpeed,Fiber,Cx call months ago about same issue but no modem was replaced.,4
HighSpeed,Fiber,Cx calling because after 1 month with new service has not being working properly.,4
HighSpeed,Fiber,Cx calling to get help to change the WiFi password.,4
HighSpeed,Fiber,Cx confirm 290mbps download on WiFi.,4
HighSpeed,Fiber,Cx confirm panel has being shut down for almost a month.,4
HighSpeed,Fiber,Cx dont have any critical alert or too many devices.,4
HighSpeed,Fiber,Cx dont have internet since yesterday after a storm.,4
HighSpeed,Fiber,Cx dont know if chime is mechanical or digital.,4
HighSpeed,Fiber,Cx getting 50kbpx on devices when he run a speedtest.,4
HighSpeed,Fiber,Cx getting 600mbps next to modem but upstairs with booster she getting only 200.,4
HighSpeed,Fiber,Cx got a new modem and he need help connecting camera back to WiFi.,4
HighSpeed,Fiber,Cx has being paying for a garage door controller that was never installed.,4
HighSpeed,Fiber,Cx have a WiFi problem yesterday and agent reset modem.,4
HighSpeed,Fiber,Cx have a doorbell camera not working about a month ago.,4
HighSpeed,Fiber,Cx have a doorbell not connecting to WiFi.,4
HighSpeed,Fiber,Cx having a really bad WiFi signal over the last couple weeks.,4
HighSpeed,Fiber,Cx having issues with WiFi and devices.,4
HighSpeed,Fiber,Cx is calling because he is having slow speed on the devices.,4
HighSpeed,Fiber,Cx is calling because the WiFi seems to be not working on devices.,4
HighSpeed,Fiber,Cx is calling for an extra 2 on her bill this month.,4
HighSpeed,Fiber,Cx is having issues connecting the computer with windows 11 to WiFi.,4
HighSpeed,Fiber,Cx just got back from traveling and panel is not connecting to WiFi.,4
HighSpeed,Fiber,Cx mention is not a big house so no need for extra boosters.,4
HighSpeed,Fiber,Cx mention problem is not the WiFi is the boxes.,4
HighSpeed,Fiber,Cx need help to replace a battery for the ONT.,4
HighSpeed,Fiber,Cx needs a cmpensation for this month of services not working.,4
HighSpeed,Fiber,Cx not receiving emails since 4 or 5 months ago.,4
HighSpeed,Fiber,Cx report slow speed on his internet for the past months.,4
HighSpeed,Fiber,Cx request a discount for he 6 months box not working.,4
HighSpeed,Fiber,Cx run speedtest on computer and he gets 975mbps hardwired.,4
HighSpeed,Fiber,Cx test MoCA directly to NAH and idoing the same isuse.,4
HighSpeed,Fiber,Cx test WiFi on ceelphones and working.,4
HighSpeed,Fiber,Cx think coax port on NAH could also be defective.,4
HighSpeed,Fiber,Cx transfered from care loyalty to get assistance with garage door controller.,4
HighSpeed,Fiber,Cx turn on booster and now cameras working.,4
HighSpeed,Fiber,Cx turn on panel and start connecting to WiFi and all sensors devices.,4
HighSpeed,Fiber,Cx unable to connect to WiFi in the computer after tech arrive.,4
HighSpeed,Fiber,Cx unable to use doorbell camera nor reconnect camera to WiFi.,4
HighSpeed,Fiber,Cx wants to connect cameras to WiFi again.,4
HighSpeed,Fiber,Cx will contact the tech to get help doing the password change.,4
HighSpeed,Fiber,Cx will go home to check equipment and WiFi before calling again.,4
HighSpeed,Fiber,Cx with good WiFi on cellphone but bad WiFi on computer.,4
HighSpeed,Fiber,Cx with good coverage but boosters not hardwired.,4
HighSpeed,Fiber,Cx with no internet since this morning but she dont have access to modem.,4
HighSpeed,Fiber,Dispatch tech for camera not connected to WiFi added to account.,4
HighSpeed,Fiber,Dispatch tech to rconnect garage controller to app and WiFi.,4
